text,score
"[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] צמחים קולטים אור מהשמש ומייצרים מזון לעצמם, וגם משחררים חמצן שאנו נושמים. בלי זה החיים היו קשים מאוד",0.95
"[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] השמש נותנת אור לצמחים, אז הם גדלים ומייצרים מזון",0.8
[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] השמש חשובה לצמחים,0.4
"[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש היא בעצם מקור האנרגיה של כל מה שקורה כמעט בכדור הארץ, היא נותנת אור וחום שמאפשרים לצמחים לגדול, לבעלי חיים לחיות וגם משפיעה על מזג האוויר דרך חימום של האדמה והאוויר",0.95
"[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש מחממת את כדור הארץ ומספקת אור, ובזכות זה יש חיים כי צמחים ובעלי חיים תלויים בזה",0.85
"[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש נותנת אור ביום וזה מה שמאפשר לראות ולהרגיש חום, וגם הצמחים משתמשים בזה כדי לגדול",0.72
[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] יש שמש והיא מחממת את העולם וזה חשוב לחיים,0.55
[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש בשמיים ומאירה,0.2
[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש היא כוכב חם,0.05
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] השמש מחממת אזורים שונים על פני כדור הארץ בצורה לא שווה, וזה גורם לאוויר לזוז, נוצרים רוחות, עננים ולפעמים גם גשם בגלל שינויי טמפרטורה",0.95
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] כשהשמש מחממת את האדמה והמים נוצרות תנועות אוויר וזה משפיע על מזג האוויר כמו רוחות וגשמים",0.85
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] השמש גורמת לחום וזה משנה את מזג האוויר לפעמים",0.6
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] יש שמש ואז יש רוח",0.3
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] השמש חמה בשמיים",0.05
"[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] צמחים משתמשים באור של השמש כדי לייצר לעצמם מזון בתהליך שנקרא פוטוסינתזה, ובדרך הם גם משחררים חמצן לאוויר שאנחנו נושמים",0.98
[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] השמש נותנת אנרגיה לצמחים וככה הם מייצרים אוכל לעצמם ויכולים לגדול,0.88
[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] צמחים צריכים אור שמש כדי לעשות פוטוסינתזה,0.7
[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] השמש עוזרת לצמחים,0.4
[Q] איך השמש קשורה לפוטוסינתזה? [T] השמש מאפשרת לצמחים לבצע פוטוסינתזה שבה הם משתמשים באור כדי לייצר מזון ולשחרר חמצן [S] יש צמחים ויש שמש,0.1
"[Q] איך האנרגיה מהשמש מנוצלת בטכנולוגיה? [T] אנרגיה סולארית מנוצלת להפקת חשמל ושמירה על סביבה [S] אנחנו יכולים להשתמש בלוחות סולאריים כדי להמיר אור שמש לחשמל, וזה עוזר לחסוך באנרגיה ולשמור על הסביבה",0.95
[Q] איך האנרגיה מהשמש מנוצלת בטכנולוגיה? [T] אנרגיה סולארית מנוצלת להפקת חשמל ושמירה על סביבה [S] אנשים שמים פאנלים על הגגות כדי לקבל חשמל מהשמש,0.88
[Q] איך האנרגיה מהשמש מנוצלת בטכנולוגיה? [T] אנרגיה סולארית מנוצלת להפקת חשמל ושמירה על סביבה [S] אפשר להשתמש באנרגיית השמש כדי להפעיל מכשירים וחשמל בבית,0.8
[Q] איך האנרגיה מהשמש מנוצלת בטכנולוגיה? [T] אנרגיה סולארית מנוצלת להפקת חשמל ושמירה על סביבה [S] השמש נותנת לנו חשמל,0.5
[Q] איך השמש יוצרת תופעות טבע כמו הזוהר הצפוני? [T] כאשר חלקיקים טעונים מהשמש פוגעים במגנטוספירה של כדור הארץ נוצרת אור צבעוני בשמיים [S] הזוהר הצפוני קורה כשחלקיקים מהשמש פוגעים בכדור הארץ ויוצרים אור יפה בשמיים,0.95
"[Q] איך השמש יוצרת תופעות טבע כמו הזוהר הצפוני? [T] כאשר חלקיקים טעונים מהשמש פוגעים במגנטוספירה של כדור הארץ נוצרת אור צבעוני בשמיים [S] כשהשמש שולחת חלקיקים לכדור הארץ, לפעמים זה יוצר אור בצבעים בשמיים",0.85
[Q] איך השמש יוצרת תופעות טבע כמו הזוהר הצפוני? [T] כאשר חלקיקים טעונים מהשמש פוגעים במגנטוספירה של כדור הארץ נוצרת אור צבעוני בשמיים [S] השמש עושה זוהר צפוני,0.6
"[Q] איך השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ, גורמת לזרימת אוויר ולתופעות מזג אוויר [S] השמש מחממת את האדמה והמים, וזה גורם לרוחות ולגשם",0.95
"[Q] איך השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ, גורמת לזרימת אוויר ולתופעות מזג אוויר [S] כאשר השמש חמה, האוויר זז והופכים לעננים ולגשם",0.85
"[Q] איך השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ, גורמת לזרימת אוויר ולתופעות מזג אוויר [S] השמש עושה חום ויש רוחות",0.5
"[Q] איך השמש משפיעה על חיי היומיום של בני האדם? [T] השמש משפיעה על פעילויות יומיומיות, על מזג האוויר, על חקלאות ועל מקורות אנרגיה [S] השמש קובעת הרבה דברים ביום יום שלנו כמו מתי נעים להיות בחוץ, איך מזג האוויר משתנה וגם היא משפיעה על הצמחים שמספקים לנו אוכל ועל החשמל שאפשר להפיק ממנה",0.92
"[Q] איך השמש משפיעה על חיי היומיום של בני האדם? [T] השמש משפיעה על פעילויות יומיומיות, על מזג האוויר, על חקלאות ועל מקורות אנרגיה [S] במהלך היום אנחנו מסתמכים על אור השמש כדי לראות ולעשות דברים, והיא גם משפיעה על עונות השנה ועל הטמפרטורה",0.82
"[Q] איך השמש משפיעה על חיי היומיום של בני האדם? [T] השמש משפיעה על פעילויות יומיומיות, על מזג האוויר, על חקלאות ועל מקורות אנרגיה [S] השמש נותנת אור וזה עוזר לנו ביום",0.45
"[Q] איך השמש משפיעה על חיי היומיום של בני האדם? [T] השמש משפיעה על פעילויות יומיומיות, על מזג האוויר, על חקלאות ועל מקורות אנרגיה [S] יש שמש ביום וזה משנה את מזג האוויר",0.25
"[Q] מה קורה בתוך השמש? [T] בתוך השמש מתרחשים תהליכים גרעיניים שבהם מימן הופך להליום ומשתחררת אנרגיה רבה בצורת אור וחום [S] בליבה של השמש יש תהליכים גרעיניים שבהם מימן הופך להליום, וזה משחרר המון אנרגיה שמגיעה אלינו כאור וחום",0.98
[Q] מה קורה בתוך השמש? [T] בתוך השמש מתרחשים תהליכים גרעיניים שבהם מימן הופך להליום ומשתחררת אנרגיה רבה בצורת אור וחום [S] בתוך השמש יש תגובות שמייצרות אנרגיה חזקה מאוד שמגיעה לכדור הארץ,0.88
[Q] מה קורה בתוך השמש? [T] בתוך השמש מתרחשים תהליכים גרעיניים שבהם מימן הופך להליום ומשתחררת אנרגיה רבה בצורת אור וחום [S] יש בתוך השמש תהליכים שיוצרים חום ואור,0.65
[Q] מה קורה בתוך השמש? [T] בתוך השמש מתרחשים תהליכים גרעיניים שבהם מימן הופך להליום ומשתחררת אנרגיה רבה בצורת אור וחום [S] השמש חמה מאוד בפנים,0.35
[Q] מה קורה בתוך השמש? [T] בתוך השמש מתרחשים תהליכים גרעיניים שבהם מימן הופך להליום ומשתחררת אנרגיה רבה בצורת אור וחום [S] יש שמש,0.05
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה בשנת 1918. האימפריות האוסטרו-הונגרית והעות'מאנית התפרקו, גרמניה חויבה בפיצויים ואיבדה שטחים, והוקמו מדינות חדשות. המלחמה גרמה להרבה אבדות, משבר כלכלי וחוסר יציבות פוליטית שהוביל לעליית משטרים קיצוניים.",1.0
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה ב-1918, גרמניה נאלצה לשלם פיצויים והאימפריות התפרקו. נוצרו מדינות חדשות והיו הרבה אבדות, אבל לא זוכר יותר.",0.6
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה נגמרה, האימפריות התפרקו וגרמניה חויבה בפיצויים. נוצרו מדינות חדשות במזרח אירופה, היו הרבה אבדות וגם משבר כלכלי.",0.9
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה ב-1918. גרמניה הפסידה שטחים, נאלצה לשלם פיצויים, והוקמו מדינות חדשות. אנשים רבים מתו והכלכלה נפגעה.",0.8
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה נגמרה ושום דבר אחר לא זוכר.",0.0
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה, גרמניה הפסידה שטחים ונאלצה לשלם פיצויים. נוצרו מדינות חדשות והיו משברים כלכליים ופוליטיים.",0.9
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה והאימפריות התפרקו, גרמניה חויבה בפיצויים. נוצרו מדינות חדשות. אנשים רבים מתו והכלכלה נפגעה.",0.85
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה לאחר ארבע שנים. האימפריות התפרקו, גרמניה חויבה בפיצויים ואיבדה שטחים. הקמת מדינות חדשות גרמה לשינויים במזרח אירופה. חוסר יציבות פוליטית ומצב כלכלי קשה הוביל להקמת משטרים קיצוניים.",1.0
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה ב-1918, גרמניה שילמה פיצויים ונאלצה לוותר על שטחים. נוצרו מדינות חדשות, והיו אבדות רבות. המשבר הכלכלי וחוסר היציבות הפוליטית הובילו לעליית משטרים קיצוניים.",1.0
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] סיום המלחמה ב-1918, פירוק האימפריות, פיצויים לגרמניה, הקמת מדינות חדשות במזרח אירופה. היו אבדות רבות, משבר כלכלי וחוסר יציבות פוליטית שהובילו לעליית משטרים קיצוניים.",1.0
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה, גרמניה חויבה בפיצויים, האימפריות התפרקו. נוצרו מדינות חדשות, היו אבדות רבות והמשבר הכלכלי חמור.",0.95
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש זורחת במזרח ושוקעת במערב.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש זורחת במזרח והשקיעה במערב.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש זורחת במזרח והשקיעה בימה.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] בבוקר מזרח ובערב מערב.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] בבוקר מזרח ובערב ימה.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש זורחת במערב ושוקעת במזרח.,0.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש זורחת במזרח בלבד.,0.5
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש שוקעת במערב בלבד.,0.5
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש עולה בבוקר ונעלמת בערב.,0.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] המזרח זה בבוקר והמערב זה בערב.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] המזרח זה בבוקר והימה זה בערב.,1.0
[Q] איפה זורחת השמש ואיפה שוקעת? [T] השמש זורחת במזרח ושוקעת במערב. [S] השמש זזה ממזרח למערב.,1.0
